ef,erikfoss
ttr,tortrett
atho,adamth
sbe,sveiberg
kpe,kenneth.pedersen
mhalv,maghalvo
kir,karl.inge.roll
dpe,daneriks
sbj,skjalg.bjorndal
ian,ianmorti
dre,danremme
toh,thaukeli
tkarl,trkarlse
opk,ole.petter.kjendbakk
mbl,mablake
kms,ksolem
egh,eivhaarr
sfu,seafurey
tbj,tbjonnes
kde,kjedenst
cru,cmckaytian.rudfoss
ste,sigteige
sfm,sahdia.moghal
tgun,terje.gundersen
tof,tforeid
rab,rasmus.bauck
her,haakerik
abasu,anirban.basu
rjacob,rubjacob
zli,zhli3
mwe,marwenne
bis,bschjerv
mbai,martin.baisgarasp
ylu,yuan.lu
you,ying.ou
psc,peter.schwenke
awe,adam.weingarten
abo,andy.borrell
dcl,douglas.clowes
lzh,wliangzh
cmc,cmckay.mckay
cja,chajakob
jbo,jimboon
vhi,vichisc
tty,ttyridal
toty,ttyridal
jhc,jeremycl
ban,bjaanton
saha,naksaha
cas,craastil
edi,elling.diesen
thom,tonnes.homme
rki,ramakish
vde,vishdesh
kni,kanilsen
jlinn,jlinneru
ebu,ebugge
tsn,tommy.nyquist
tve,tvesthei
ivo,ivoniniv
jpri,johann.prieur
sfj,sidre.fjogstad
pcur,paal.currie
fau,fredrik.aubert
tho,lasthore
bam,balmenyh
mza,magne.zacmckayen
aso,audsolva
tmi,thomitte
pil,phiilett
sali,shaukat.ali
hhe,hadi.hemmati
kar,kroyslan
sha,scoharr2
sgp,svepette
evid,erlend.viddal
vei,viktor.eide
jami,jorgen.michaelsen
jqiang,jiqiqian
hra,hans.rafaelsen
spod,skp
bajo,baard.johansen
bhe,bjorn.hembre
pbu,pabuhler
vby,vebjorn.bystrom
dbu,davbuchm
dtr,daniel.treidene
kmr,kjrud
tda,jdahlbac
ret,charit.sethi
dle,dennilea
cmckayb,   cmckay.brien
coien,cmckaytian.oien
cknott,cmckay.knott
lha,luchand
vdesh,vishdesh
kafonso,   krshafon
pcol,pacolli2
abdups,abdups
svn,labuser
ekl,espklovn
oan,oyvind.andersen
jel,jellefse
eba,ebardsen
krand,krand
pkn,peknudse
jpg,jean.grassin
alo,aoiesvol
trh,trond.hogsaas
tmsbuilder,anaess
gmc,garrmcnu
mbakken,marianne.bakken
isa,ingar.abrahamsen
nbe,nicolai.berthelsen
alexao,aleottes
thaande,tor.haande
jhafs,jhafstad
mholst,magnus.holst
oingva,ola.ingvaldsen
skarpete,jskarpet
tas,tom.solgarasp
ibart,ianbartl
git,GIT
jty,jotysso
cfi,cmckaytian.figen
dri,daleritc
ehag,einahage
ajarvis,andrejar
asmedley,andrsmed
dleonard,dleonard
hlim,hong.lim
lsmith,lismith2
jringer,joshring
rharvey,roharve2
hmeng,mhtang
tla,tlaugsto
pdr,pdrivekl
nsetty,narsetty
msa,martin.alnas
osyr,osyrstad
teldby,thor.eldby
hholter,hiholter
ram,ramakrmu
tja,thojakob
kart,karthick.kumaran
vasu,vasudev.anand
mona,monalisha.sabat
soe,steierik
srikmg,srikanth.mg
tjreddy,t.j.reddy
rprasad,rsv.prasad
pbelur,pradeep.belur
mat,matthew.mattina
desavost,desavost
jsa,jameande
cjo,cmckaytian.johansen
jnew,jornewth
otonsberg,otonsber
rha,richhar2
jmb,jobell2
kudya,khaudyaw
apnaga,arun.nagarajan
cjohan,cmckaytian.johansen
alilleaas,alilleaas
nph,nathphil
svi,simovick
nhe,nina.heitmann
kfa,kfarner
koe,kerichse
jrathi,jaga.rathinavel
kjetilhr,kjeree
lmp,laupauks
jbri,james.bridgwater
kbro,kohl.bromwich
efd,edorum
afr,afroyhau
aku,akhikuma
cay,carl.a.youngblood
ska,surya.kajampady
dstringer,deanstri
asan,asanche2
jat,jon.anders.teigen
sshi,sshivan2
bbj,birger.bjonnes
mra,matrandg
rno,ruben.norgaard
chas,casserso
jfr,jeanfric
sst,stistryn
cvk,cmckaytian.von.krogh
vpe,veskiril
moh,mohartma
tmb,tbriskod
ned,nicedet
sampathr,samranas
stj,stianjoh
bck_tcsrd,bck_tcsrd
hskaug,havar.skaugrud
obl,oberglut
nibra,noufal.ibrahim
njain,naman.jain
amyhr,amyhre
bck_regcon,bck_regcon
dco,dcockbil
arr,arne.rogndalen
oyh,oyvind.henriksen
iha,ingar.hauge
rameshr,rrajago2
